Sensor,Date_Time,Date,Time,Count
Southbank,2018-12-31T18:00:00Z,2019-01-01,5,283
Queen St (West),2018-12-31T18:00:00Z,2019-01-01,5,46
Lygon St (East),2018-12-31T18:00:00Z,2019-01-01,5,13
Flinders St-Swanston St (West),2018-12-31T18:00:00Z,2019-01-01,5,104
Alfred Place,2018-12-31T18:00:00Z,2019-01-01,5,31
Lonsdale St-Spring St (West),2018-12-31T18:00:00Z,2019-01-01,5,14
Grattan St-Swanston St (West),2018-12-31T18:00:00Z,2019-01-01,5,3
Monash Rd-Swanston St (West),2018-12-31T18:00:00Z,2019-01-01,5,NA
Tin Alley-Swanston St (West),2018-12-31T18:00:00Z,2019-01-01,5,3
Bourke Street Mall (North),2018-12-31T19:00:00Z,2019-01-01,6,48
Bourke Street Mall (South),2018-12-31T19:00:00Z,2019-01-01,6,55
Melbourne Central,2018-12-31T19:00:00Z,2019-01-01,6,NA
Town Hall (West),2018-12-31T19:00:00Z,2019-01-01,6,131
Princes Bridge,2018-12-31T19:00:00Z,2019-01-01,6,214
Flinders Street Station Underpass,2018-12-31T19:00:00Z,2019-01-01,6,360
Birrarung Marr,2018-12-31T19:00:00Z,2019-01-01,6,48
Webb Bridge,2018-12-31T19:00:00Z,2019-01-01,6,16
Southern Cross Station,2018-12-31T19:00:00Z,2019-01-01,6,45
Victoria Point,2018-12-31T19:00:00Z,2019-01-01,6,27
Waterfront City,2018-12-31T19:00:00Z,2019-01-01,6,10
New Quay,2018-12-31T19:00:00Z,2019-01-01,6,22
Flagstaff Station,2018-12-31T19:00:00Z,2019-01-01,6,NA
Sandridge Bridge,2018-12-31T19:00:00Z,2019-01-01,6,244
State Library,2018-12-31T19:00:00Z,2019-01-01,6,42
Collins St (North),2018-12-31T19:00:00Z,2019-01-01,6,21
Collins Place (South),2018-12-31T19:00:00Z,2019-01-01,6,47
Collins Place (North),2018-12-31T19:00:00Z,2019-01-01,6,22
Chinatown-Swanston St (North),2018-12-31T19:00:00Z,2019-01-01,6,44
Chinatown-Lt Bourke St (South),2018-12-31T19:00:00Z,2019-01-01,6,51
Bourke St-Russell St (West),2018-12-31T19:00:00Z,2019-01-01,6,117
Flinders St-Elizabeth St (East),2018-12-31T19:00:00Z,2019-01-01,6,NA
Spencer St-Collins St (South),2018-12-31T19:00:00Z,2019-01-01,6,82
Spencer St-Collins St (North),2018-12-31T19:00:00Z,2019-01-01,6,285
Melbourne Convention Exhibition Centre,2018-12-31T19:00:00Z,2019-01-01,6,91
QV Market-Elizabeth St (West),2018-12-31T19:00:00Z,2019-01-01,6,103
QV Market-Peel St,2018-12-31T19:00:00Z,2019-01-01,6,9
The Arts Centre,2018-12-31T19:00:00Z,2019-01-01,6,57
St Kilda Rd-Alexandra Gardens,2018-12-31T19:00:00Z,2019-01-01,6,69
Lonsdale St (South),2018-12-31T19:00:00Z,2019-01-01,6,82
Lygon St (West),2018-12-31T19:00:00Z,2019-01-01,6,7
City Square,2018-12-31T19:00:00Z,2019-01-01,6,NA
Flinders St-Spring St (West),2018-12-31T19:00:00Z,2019-01-01,6,29
Flinders St-Spark La,2018-12-31T19:00:00Z,2019-01-01,6,17
Southbank,2018-12-31T19:00:00Z,2019-01-01,6,246
Queen St (West),2018-12-31T19:00:00Z,2019-01-01,6,22
Lygon St (East),2018-12-31T19:00:00Z,2019-01-01,6,7
Flinders St-Swanston St (West),2018-12-31T19:00:00Z,2019-01-01,6,100
Alfred Place,2018-12-31T19:00:00Z,2019-01-01,6,17
Lonsdale St-Spring St (West),2018-12-31T19:00:00Z,2019-01-01,6,13
Grattan St-Swanston St (West),2018-12-31T19:00:00Z,2019-01-01,6,5
Monash Rd-Swanston St (West),2018-12-31T19:00:00Z,2019-01-01,6,NA
Tin Alley-Swanston St (West),2018-12-31T19:00:00Z,2019-01-01,6,NA
Bourke Street Mall (North),2018-12-31T20:00:00Z,2019-01-01,7,47
Bourke Street Mall (South),2018-12-31T20:00:00Z,2019-01-01,7,51
Melbourne Central,2018-12-31T20:00:00Z,2019-01-01,7,NA
Town Hall (West),2018-12-31T20:00:00Z,2019-01-01,7,153
Princes Bridge,2018-12-31T20:00:00Z,2019-01-01,7,169
Flinders Street Station Underpass,2018-12-31T20:00:00Z,2019-01-01,7,260
Birrarung Marr,2018-12-31T20:00:00Z,2019-01-01,7,49
Webb Bridge,2018-12-31T20:00:00Z,2019-01-01,7,32
Southern Cross Station,2018-12-31T20:00:00Z,2019-01-01,7,38
Victoria Point,2018-12-31T20:00:00Z,2019-01-01,7,9
Waterfront City,2018-12-31T20:00:00Z,2019-01-01,7,11
New Quay,2018-12-31T20:00:00Z,2019-01-01,7,42
Flagstaff Station,2018-12-31T20:00:00Z,2019-01-01,7,NA
Sandridge Bridge,2018-12-31T20:00:00Z,2019-01-01,7,147
State Library,2018-12-31T20:00:00Z,2019-01-01,7,50
Collins St (North),2018-12-31T20:00:00Z,2019-01-01,7,83
Collins Place (South),2018-12-31T20:00:00Z,2019-01-01,7,32
Collins Place (North),2018-12-31T20:00:00Z,2019-01-01,7,24
Chinatown-Swanston St (North),2018-12-31T20:00:00Z,2019-01-01,7,73
Chinatown-Lt Bourke St (South),2018-12-31T20:00:00Z,2019-01-01,7,72
Bourke St-Russell St (West),2018-12-31T20:00:00Z,2019-01-01,7,76
Flinders St-Elizabeth St (East),2018-12-31T20:00:00Z,2019-01-01,7,NA
Spencer St-Collins St (South),2018-12-31T20:00:00Z,2019-01-01,7,70
Spencer St-Collins St (North),2018-12-31T20:00:00Z,2019-01-01,7,292
Melbourne Convention Exhibition Centre,2018-12-31T20:00:00Z,2019-01-01,7,86
QV Market-Elizabeth St (West),2018-12-31T20:00:00Z,2019-01-01,7,96
QV Market-Peel St,2018-12-31T20:00:00Z,2019-01-01,7,16
The Arts Centre,2018-12-31T20:00:00Z,2019-01-01,7,84
St Kilda Rd-Alexandra Gardens,2018-12-31T20:00:00Z,2019-01-01,7,70
Lonsdale St (South),2018-12-31T20:00:00Z,2019-01-01,7,60
Lygon St (West),2018-12-31T20:00:00Z,2019-01-01,7,14
City Square,2018-12-31T20:00:00Z,2019-01-01,7,NA
Flinders St-Spring St (West),2018-12-31T20:00:00Z,2019-01-01,7,21
Flinders St-Spark La,2018-12-31T20:00:00Z,2019-01-01,7,19
Southbank,2018-12-31T20:00:00Z,2019-01-01,7,292
Queen St (West),2018-12-31T20:00:00Z,2019-01-01,7,16
Lygon St (East),2018-12-31T20:00:00Z,2019-01-01,7,8
Flinders St-Swanston St (West),2018-12-31T20:00:00Z,2019-01-01,7,129
Alfred Place,2018-12-31T20:00:00Z,2019-01-01,7,31
Lonsdale St-Spring St (West),2018-12-31T20:00:00Z,2019-01-01,7,22
Grattan St-Swanston St (West),2018-12-31T20:00:00Z,2019-01-01,7,10
Monash Rd-Swanston St (West),2018-12-31T20:00:00Z,2019-01-01,7,7
Tin Alley-Swanston St (West),2018-12-31T20:00:00Z,2019-01-01,7,5
Bourke Street Mall (North),2018-12-31T21:00:00Z,2019-01-01,8,86
Bourke Street Mall (South),2018-12-31T21:00:00Z,2019-01-01,8,87
Melbourne Central,2018-12-31T21:00:00Z,2019-01-01,8,NA
Town Hall (West),2018-12-31T21:00:00Z,2019-01-01,8,207
Princes Bridge,2018-12-31T21:00:00Z,2019-01-01,8,235
Flinders Street Station Underpass,2018-12-31T21:00:00Z,2019-01-01,8,352
Birrarung Marr,2018-12-31T21:00:00Z,2019-01-01,8,65
Webb Bridge,2018-12-31T21:00:00Z,2019-01-01,8,56
Southern Cross Station,2018-12-31T21:00:00Z,2019-01-01,8,60
Victoria Point,2018-12-31T21:00:00Z,2019-01-01,8,15
